Company Name,Symbol,Headline,Date,Original_Sentiment,Ticker,VADER_Score,VADER_Label,Is_Hindi
Bajaj Finance Ltd.,BAJFINANCE,Bearish Trend Hits Indian Stock Market Amid Global Cues and Rising Us Bond Yields,2023-10-04,Positive,BAJFINANCE,0.0,Neutral,0
Bajaj Finance Ltd.,BAJFINANCE,Bajaj Finserv shares slide amid GST notice and market underperformance,2023-10-04,Positive,BAJFINANCE,0.296,Positive,0
Bajaj Finance Ltd.,BAJFINANCE,Indian bluechip stocks underperform led by Wipro's 36% downturn,2023-09-29,Negative,BAJFINANCE,0.0,Neutral,0
Bajaj Finance Ltd.,BAJFINANCE,Indian Stock Market Ends Flat Amid Global Influences and Sectoral Shifts,2023-09-25,Neutral,BAJFINANCE,0.0,Neutral,0
Bajaj Finance Ltd.,BAJFINANCE,Indian markets see FPIs divest from multiple sectors BFSI and IT witness fresh investments,2023-09-21,Positive,BAJFINANCE,0.3182,Positive,0
Bajaj Finance Ltd.,BAJFINANCE,Indian equity indices decline for third day amid global market downturn,2023-09-21,Positive,BAJFINANCE,-0.2,Negative,0
Bajaj Finance Ltd.,BAJFINANCE,Bajaj Finserv Limited receives Investment Bank Analyst Rating Update,2024-04-08,Neutral,BAJFINANCE,-0.2263,Negative,0
Bajaj Finance Ltd.,BAJFINANCE,Bajaj Finserv Limited receives Investment Bank Analyst Rating Update,2024-03-13,Positive,BAJFINANCE,-0.2263,Negative,0
Bajaj Finance Ltd.,BAJFINANCE,Bajaj Finserv Limited receives Investment Bank Analyst Rating Update,2024-01-31,Positive,BAJFINANCE,-0.2263,Negative,0
Bajaj Finance Ltd.,BAJFINANCE,Indian stock indices advance following US Federal Reserve's rate decision,2023-11-02,Positive,BAJFINANCE,0.0,Neutral,0
Bajaj Finance Ltd.,BAJFINANCE,Bajaj Finserv Limited receives Investment Bank Analyst Rating Update,2024-10-29,Neutral,BAJFINANCE,-0.2263,Negative,0
Bajaj Finance Ltd.,BAJFINANCE,India stocks higher at close of trade; Nifty 50 up 0.81%,2024-09-26,Neutral,BAJFINANCE,0.4019,Positive,0
Bajaj Finance Ltd.,BAJFINANCE,Bajaj Finserv Limited receives Investment Bank Analyst Rating Update,2024-09-12,Negative,BAJFINANCE,-0.2263,Negative,0
Bajaj Finance Ltd.,BAJFINANCE,India stocks higher at close of trade; Nifty 50 up 0.42%,2024-09-10,Positive,BAJFINANCE,0.4019,Positive,0
Bajaj Finance Ltd.,BAJFINANCE,India stocks lower at close of trade; Nifty 50 down 0.04%,2024-09-03,Neutral,BAJFINANCE,0.128,Positive,0
Bajaj Finance Ltd.,BAJFINANCE,Bajaj Finserv Limited receives Investment Bank Analyst Rating Update,2024-07-29,Neutral,BAJFINANCE,-0.2263,Negative,0
Bajaj Finance Ltd.,BAJFINANCE,Tata Capital's valuation soars to â‚¹1.5 lakh crore in unlisted market,2023-11-10,Negative,BAJFINANCE,0.0,Neutral,0
